_id,name,price,description,image,category,__v
64344cc3b4a92de07f4e000e,Pol Roti,100,"Pol Roti is a traditional Sri Lankan flatbread made with freshly grated coconut, wheat flour, and water. It's a versatile and hearty staple, often enjoyed for breakfast or as a snack, and can be served with a variety of sweet or savory accompaniments. Pol Roti has a chewy texture and a slightly nutty flavor, making it a popular and satisfying choice for many Sri Lankan meals.",,64344860b4a92de07f4dfffc,0
64344d10b4a92de07f4e0010,Hoppers,100,"Hoppers, also known as appam, are a popular Sri Lankan and South Indian breakfast food. Made from a batter of fermented rice flour and coconut milk, hoppers are bowl-shaped pancakes with a crispy, lace-like edge and a soft, fluffy center. They are typically eaten with a variety of savory or sweet toppings, such as egg, coconut sambal, or jaggery syrup. Hoppers are loved for their delicate texture and slightly sweet flavor, making them a delicious and unique breakfast option.",,64344860b4a92de07f4dfffc,0
64344de1b4a92de07f4e0012,Kottu Roti,100,"Kottu Roti is a popular Sri Lankan street food made by stir-frying chopped roti bread with vegetables, eggs, and a choice of meat or seafood. It's seasoned with aromatic spices like turmeric, chili powder, and cumin, and is often served with a spicy curry sauce or chili paste. Kottu Roti is loved for its delicious flavors and unique texture, with the chopped roti bread giving it a satisfying crunch. It's a hearty and filling dish that's perfect for a quick and tasty meal on the go.",,64344860b4a92de07f4dfffc,0
64344e24b4a92de07f4e0014,Vegitable Kottu,100,"Vegetable Kottu is a vegetarian version of the popular Sri Lankan street food, Kottu Roti. It's made by stir-frying chopped roti bread with a colorful mix of vegetables, including carrots, cabbage, and onions. The dish is seasoned with aromatic spices like turmeric, chili powder, and cumin, and is often served with a spicy curry sauce or chili paste. Vegetable Kottu is loved for its delicious flavors, satisfying texture, and healthy ingredients, making it a perfect choice for vegetarians and meat-lovers alike.",,64344860b4a92de07f4dfffc,0
64344e54b4a92de07f4e0016,Fish cutlet,100,"Fish cutlets are a popular snack or appetizer in Sri Lanka, made by combining mashed potatoes with a mixture of cooked fish, onions, and spices. The mixture is formed into small patties, coated in breadcrumbs, and fried until golden brown. Fish cutlets are often served with a spicy dipping sauce or chutney, and are loved for their crispy exterior and flavorful filling. They're a delicious way to enjoy Sri Lankan cuisine, and are a perfect snack for any time of day.",,64344860b4a92de07f4dfffc,0
64344e91b4a92de07f4e0018,Fish rice and curry,100,"Fish rice and curry is a classic Sri Lankan dish that consists of a flavorful curry made with a variety of spices and coconut milk, served over a bed of steaming hot rice and topped with pieces of tender fish. The curry is typically made with a mix of vegetables like onions, tomatoes, and green chilies, and is seasoned with fragrant spices like cumin, coriander, and cinnamon. This dish is loved for its delicious blend of flavors and textures, making it a staple of Sri Lankan cuisine.",,64344860b4a92de07f4dfffc,0
64344ec8b4a92de07f4e001a,Fish Roti,100,"Fish Roti is a popular Sri Lankan snack made by wrapping spiced fish and vegetables in a flattened dough and frying until golden brown. The dough is made with a mixture of wheat flour, coconut milk, and water, and is filled with a flavorful mix of fish, onions, and spices like turmeric and chili powder. Fish Roti is often served with a tangy tamarind or chili sauce, and is loved for its crispy exterior and spicy, savory filling. It's a perfect snack for those who enjoy bold flavors and hearty textures.",,64344860b4a92de07f4dfffc,0
64344f1ab4a92de07f4e001c,Vegetable Roti,100,"Vegetable Roti is a Sri Lankan snack made by wrapping a spicy vegetable mixture in a flattened dough and frying until golden brown. The dough is made with a mixture of wheat flour, coconut milk, and water, and is filled with a flavorful mix of vegetables like carrots, potatoes, and onions, seasoned with aromatic spices like cumin, coriander, and turmeric. Vegetable Roti is often served with a tangy tamarind or chili sauce, and is loved for its crispy exterior and delicious, vegetarian filling. It's a perfect snack for those who enjoy bold flavors and hearty textures.",,64344860b4a92de07f4dfffc,0
64344f48b4a92de07f4e001e,Sambol,100,"Sambol is a traditional Sri Lankan condiment made with grated coconut, chili peppers, onions, and lime juice. The mixture is seasoned with salt and sometimes includes other spices like cumin or coriander. Sambol is typically served as a side dish or accompaniment to other Sri Lankan dishes, adding a spicy and tangy flavor to the meal. It's a popular condiment that's loved for its simple yet delicious flavor and can be found on tables across the country, from street food vendors to high-end restaurants.",,64344860b4a92de07f4dfffc,0
64344f6fb4a92de07f4e0020,string hoppers,100,"String hoppers are a popular Sri Lankan breakfast food made with rice flour, water, and salt. The dough is pressed through a special mold to create thin, spaghetti-like noodles, which are then steamed until cooked through. String hoppers are typically served with a variety of accompaniments like curry, sambol, or coconut milk gravy, and are loved for their soft, delicate texture and versatility. They're a delicious way to start the day in Sri Lanka and are a staple of the country's rich culinary tradition.",,64344860b4a92de07f4dfffc,0
